nome,categoria_principal,confianca_principal,categoria_2,confianca_2,categoria_3,confianca_3
CA20220920-10a.TIF,drawing with predominantly yellow colors,42.98,drawing with predominantly blue colors,38.13,drawing with pastel colors,5.07
CA20220920-11a.TIF,drawing with predominantly yellow colors,36.0,drawing with pastel colors,16.7,drawing with predominantly blue colors,12.49
CA20220920-12a.TIF,drawing with predominantly green colors,77.2,drawing with predominantly orange colors,9.01,drawing with predominantly yellow colors,3.69
CA20220920-1a.TIF,drawing with predominantly blue colors,28.27,drawing with predominantly green colors,25.84,drawing with pastel colors,12.07
CA20220920-2a.TIF,drawing with predominantly blue colors,28.45,drawing with predominantly green colors,21.2,drawing with predominantly yellow colors,14.4
CA20220920-3a.TIF,drawing with pastel colors,29.78,drawing with predominantly yellow colors,17.44,colorful drawing with many colors,13.18
CA20220920-4a.TIF,drawing with predominantly blue colors,39.18,drawing with pastel colors,18.0,drawing with predominantly yellow colors,16.41
CA20220920-5a.TIF,drawing with predominantly green colors,71.55,drawing with predominantly orange colors,6.51,drawing with predominantly red colors,6.23
CA20220920-6a.TIF,drawing with predominantly green colors,40.03,drawing with predominantly purple colors,19.8,drawing with predominantly red colors,19.13
CA20220920-8a.TIF,drawing with predominantly green colors,73.48,drawing with predominantly blue colors,11.03,drawing with predominantly yellow colors,5.59
CA20220920-9a.TIF,drawing with predominantly green colors,24.35,drawing with predominantly purple colors,21.32,drawing with pastel colors,14.23
CA20220920-Xa.TIF,drawing with pastel colors,39.41,drawing with predominantly yellow colors,12.23,drawing with predominantly green colors,11.45
CA20220920-Ya.TIF,drawing with pastel colors,23.48,drawing with predominantly blue colors,16.03,drawing with predominantly yellow colors,15.16
