nome,cor_1,perc_1,cor_2,perc_2,cor_3,perc_3,cor_4,perc_4,cor_5,perc_5
CA20220920-10a.TIF,"[245, 204, 110]",14.9,"[233, 241, 227]",52.4,"[20, 20, 19]",13.4,"[110, 134, 169]",7.9,"[90, 234, 252]",11.3
CA20220920-11a.TIF,"[153, 156, 167]",13.8,"[86, 231, 251]",13.8,"[34, 36, 27]",10.5,"[223, 161, 77]",7.5,"[222, 232, 231]",54.5
CA20220920-12a.TIF,"[176, 233, 219]",27.0,"[32, 34, 31]",4.6,"[226, 246, 235]",47.8,"[83, 127, 143]",8.3,"[128, 211, 173]",12.4
CA20220920-1a.TIF,"[109, 131, 142]",6.0,"[221, 241, 244]",56.7,"[151, 221, 242]",23.4,"[21, 21, 21]",5.9,"[236, 217, 169]",8.0
CA20220920-2a.TIF,"[241, 236, 221]",49.8,"[96, 108, 113]",9.9,"[22, 21, 20]",8.6,"[250, 211, 119]",15.6,"[173, 175, 187]",16.2
CA20220920-3a.TIF,"[227, 183, 41]",16.8,"[166, 175, 217]",20.8,"[39, 37, 42]",13.0,"[226, 225, 234]",34.6,"[112, 110, 133]",14.8
CA20220920-4a.TIF,"[217, 240, 246]",45.1,"[61, 196, 251]",8.3,"[57, 57, 67]",6.4,"[174, 162, 139]",11.8,"[154, 229, 252]",28.3
CA20220920-5a.TIF,"[224, 237, 235]",53.7,"[98, 132, 142]",10.9,"[165, 180, 216]",14.6,"[27, 30, 32]",6.1,"[156, 232, 180]",14.7
CA20220920-6a.TIF,"[172, 232, 204]",18.2,"[29, 41, 23]",4.5,"[231, 236, 240]",58.6,"[101, 154, 154]",6.3,"[185, 152, 238]",12.4
CA20220920-8a.TIF,"[231, 247, 223]",49.6,"[94, 210, 136]",15.0,"[22, 39, 33]",0.9,"[170, 234, 186]",30.7,"[242, 217, 127]",3.8
CA20220920-9a.TIF,"[21, 10, 10]",26.6,"[159, 224, 213]",20.6,"[227, 237, 241]",41.5,"[29, 221, 250]",3.3,"[94, 145, 134]",7.9
CA20220920-Xa.TIF,"[123, 244, 248]",8.0,"[25, 31, 26]",13.7,"[93, 108, 131]",12.5,"[161, 179, 186]",16.9,"[220, 238, 236]",48.9
CA20220920-Ya.TIF,"[234, 234, 238]",55.1,"[15, 15, 11]",13.8,"[113, 237, 249]",11.0,"[248, 223, 168]",14.2,"[180, 123, 124]",5.9
