nome,cor_1,hsv_1,perc_1,cor_2,hsv_2,perc_2,cor_3,hsv_3,perc_3,cor_4,hsv_4,perc_4,cor_5,hsv_5,perc_5
CA20220920-10a.TIF,🟠 Laranja,"[15,70,193]",35.0,🔵 Azul,"[111,65,219]",22.0,🔵 Azul,"[95,196,221]",14.3,🔵 Azul,"[118,91,82]",6.9,🟠 Laranja,"[14,131,139]",21.8
CA20220920-11a.TIF,🔵 Azul,"[89,128,212]",13.1,🟣 Violeta,"[131,48,200]",32.6,🟢 Verde,"[75,105,92]",12.4,🔵 Azul,"[87,223,188]",11.9,🟠 Laranja,"[21,55,202]",30.0
CA20220920-12a.TIF,🟢 Verde,"[43,144,210]",22.2,🟠 Laranja,"[16,110,151]",22.8,🩷 Rosa/Magenta,"[158,57,182]",3.1,🟢 Verde,"[42,65,223]",46.0,🔵 Azul,"[91,89,62]",5.9
CA20220920-1a.TIF,🟣 Violeta,"[136,80,102]",11.1,🟢 Verde,"[43,154,201]",15.5,🔵 Azul,"[120,52,200]",18.6,🟡 Amarelo,"[31,60,219]",37.1,🟠 Laranja,"[19,102,116]",17.8
CA20220920-2a.TIF,🟣 Violeta,"[142,47,200]",27.7,🟠 Laranja,"[18,92,113]",17.5,🟣 Violeta,"[143,65,107]",15.0,🟠 Laranja,"[20,53,198]",28.7,🟢 Verde,"[73,189,173]",11.0
CA20220920-3a.TIF,🟣 Violeta,"[142,67,203]",23.9,🟠 Laranja,"[21,90,93]",14.8,🟡 Amarelo,"[22,63,187]",17.2,🟣 Violeta,"[144,77,97]",17.9,🔵 Azul,"[101,227,209]",26.2
CA20220920-4a.TIF,🟠 Laranja,"[19,61,196]",28.2,🟣 Violeta,"[146,73,101]",17.7,🔵 Azul,"[86,212,211]",9.6,🟣 Violeta,"[136,47,195]",25.7,🟠 Laranja,"[20,86,105]",18.7
CA20220920-5a.TIF,🟡 Amarelo,"[37,59,213]",39.7,🟢 Verde,"[41,131,209]",24.4,🟣 Violeta,"[133,81,94]",7.0,🟠 Laranja,"[19,107,115]",14.9,🟣 Violeta,"[148,60,202]",14.0
CA20220920-6a.TIF,🟢 Verde,"[41,55,222]",42.8,🩷 Rosa/Magenta,"[163,64,222]",14.0,🟡 Amarelo,"[36,116,203]",26.3,🩷 Rosa/Magenta,"[169,152,223]",8.6,🟢 Verde,"[62,165,117]",8.3
CA20220920-8a.TIF,🟢 Verde,"[51,138,217]",26.1,🩷 Rosa/Magenta,"[163,71,202]",2.4,🟢 Verde,"[55,96,226]",35.3,🟢 Verde,"[50,196,194]",9.8,🟢 Verde,"[53,54,226]",26.3
CA20220920-9a.TIF,🟢 Verde,"[40,77,222]",29.0,🔵 Azul,"[108,229,101]",20.4,🟣 Violeta,"[144,68,180]",15.1,🟢 Verde,"[50,169,215]",21.3,🟠 Laranja,"[17,124,137]",14.2
CA20220920-Xa.TIF,🟣 Violeta,"[145,62,204]",14.3,🟠 Laranja,"[20,83,110]",16.0,🟡 Amarelo,"[26,75,211]",43.1,🟡 Amarelo,"[31,175,141]",16.3,🟣 Violeta,"[131,83,89]",10.4
CA20220920-Ya.TIF,🟠 Laranja,"[16,68,213]",24.2,🔵 Azul,"[98,77,98]",8.6,🟣 Violeta,"[144,58,215]",48.3,🔵 Azul,"[103,179,213]",11.8,🔵 Azul,"[95,215,95]",7.0
